Nome da Receita,País,Ingredientes,Modo de Preparo,Porção,Rendimento,Tempo de Preparo,Calorias,Proteínas,Carboidratos,Gorduras,Fibras,Restrições Alimentares
Ratatouille,França,"Abobrinha, Berinjela, Tomate, Pimentão, Cebola, Alho, Azeite, Sal, Ervas finas",1. Corte os legumes em rodelas. 2. Refogue alho e cebola no azeite. 3. Monte camadas em um refratário. 4. Asse por 40 min a 180ºC.,1 prato,4 porções,50 minutos,130,2,18,6,4,"Vegana, Sem Glúten, Halal"
Feijoada,Brasil,"Feijão preto, carne seca, linguiça, costelinha, cebola, alho, louro, sal, pimenta",1. Dessalgue as carnes. 2. Cozinhe o feijão com os temperos. 3. Adicione as carnes e cozinhe por 1h30.,1 prato,6 porções,2 horas,550,30,40,28,10,Sem Glúten
Yakisoba Vegan,Japão,"Macarrão de arroz, repolho, cenoura, brócolis, shoyu sem glúten, óleo de gergelim",1. Cozinhe o macarrão. 2. Refogue legumes. 3. Adicione shoyu e óleo. 4. Misture tudo.,1 prato,3 porções,40 minutos,300,8,45,10,6,"Vegana, Sem Lactose, Halal, Kosher"
Camarão com caldo de moqueca,Brasil,"Camarão, azeite, suco do limão, 1 dente de alho picado, 1 cebola média, 1 pimentão verde picado, 2 tomates picados, pimenta do reino, folhas de coentro a gosto, 200ml de leite de coco, 1 colher de azeite de dendê, 1 banana da terra e sal.","1. Temperar o camarão: Camarão + limão + alho + sal + pimenta (marinar 20 min), 
        2. Refogar os vegetais: Azeite + cebola + pimentão + tomate (cozinhar até amolecer). 
        3. Adicionar leite de coco: Misturar ao refogado, ferver. 
        4. Cozinhar o camarão: Adicionar ao caldo, cozinhar até rosar (5-7 min). 
        5. Finalizar o prato: Acrescentar azeite de dendê + coentro.
        6. Fritar banana-da-terra: Fatiar e dourar no azeite.
        7. Servir: Com arroz branco + banana frita",1 prato,3 porções,40 minutos,400,25,25,25,4,"Sem Lactose, camarão – alergênico"
Ravioli de Camarão com Massa Caseira,Itália,"2 xícaras de farinha de trigo, 2 ovos, 1 colher de sopa de azeite, 1 pitada de sal, camarão limpo picado, 1 dente de alho picado, azeite, salsinha ou coentro, sal, pimenta-do-reino, opcional: requeijão ou cream cheese","
        1. Fazer a massa: misturar farinha, ovos, azeite e sal; sovar por 10 min; descansar 30 min.
        2. Refogar alho no azeite; adicionar camarão, sal e pimenta; cozinhar 3 min; adicionar ervas; esfriar.
        3. Abrir a massa fina; colocar recheio; cobrir com outra camada; fechar e cortar os raviolis.
        4. Cozinhar em água fervente por 3-5 min até subir à superfície.
        5. Servir com molho de sua preferência.",1 prato,3 porções,1h20 minutos,500,25,50,20,2,"Contém glúten, ovos e frutos do mar; pode conter lactose (se usar requeijão)"
Brownie de Limão,Estados Unidos,"1 xícara de farinha de trigo, 200g de chocolate meio amargo, 150g de manteiga, 1 xícara de açúcar, 3 ovos, suco e raspas de 2 limões, 1 colher de chá de fermento em pó, 1 pitada de sal","
      1. Derreter o chocolate e a manteiga juntos em banho-maria ou micro-ondas.
      2. Misturar o açúcar e os ovos até formar um creme.
      3. Adicionar o suco e as raspas de limão, misturar bem.
      4. Incorporar o chocolate derretido na mistura.
      5. Peneirar a farinha, fermento e sal e misturar delicadamente.
      6. Despejar em forma untada e enfarinhada.
      7. Assar em forno pré-aquecido a 180°C por 25-30 minutos.
      8. Deixar esfriar antes de cortar e servir.",1 fatia,8 porções,45 minutos,375,5,48,22,2,"Contém glúten, ovos e leite; pode conter traços de castanhas"
Boeuf Bourguignon,França,"1 kg de carne bovina para cozido, 150g de bacon, 2 cenouras, 1 cebola grande, 2 dentes de alho, 750ml de vinho tinto, 2 colheres de sopa de farinha de trigo, 200ml de caldo de carne, 1 bouquet garni (tomilho, louro, salsa), 200g de cogumelos, sal, pimenta-do-reino, azeite ou manteiga","
      1. Cortar a carne em cubos e dourar com bacon em panela grande.
      2. Retirar a carne; refogar cenoura, cebola e alho até amolecer.
      3. Polvilhar farinha sobre os legumes e misturar.
      4. Devolver a carne à panela; adicionar vinho tinto e caldo de carne.
      5. Colocar bouquet garni; temperar com sal e pimenta.
      6. Cozinhar em fogo baixo por 2-3 horas até a carne ficar macia.
      7. Refogar cogumelos em manteiga e adicionar à carne nos últimos 30 minutos.
      8. Servir quente, acompanhado de batatas ou pão.",1 prato,4 porções,3 horas,550,45,15,35,3,"Contém glúten (farinha), contém carne bovina e bacon; pode conter lactose (manteiga)"
Pavlova,Austrália / Nova Zelândia,"4 claras de ovo, 1 xícara de açúcar, 1 colher de chá de vinagre branco, 1 colher de chá de amido de milho, 1 colher de chá de essência de baunilha, creme de leite fresco para bater, frutas frescas (morango, kiwi, maracujá)","
      1. Preaquecer o forno a 120°C.
      2. Bater as claras em neve até formar picos suaves.
      3. Gradualmente adicionar o açúcar, batendo até obter picos firmes e brilhantes.
      4. Incorporar delicadamente vinagre, amido de milho e baunilha.
      5. Modelar a mistura em formato de disco em uma assadeira forrada com papel manteiga.
      6. Assar por 1h e 15min, depois desligar o forno e deixar a pavlova esfriar dentro dele.
      7. Bater o creme de leite até formar chantilly.
      8. Cobrir a pavlova com chantilly e decorar com frutas frescas.
      9. Servir imediatamente.",1 fatia,6 porções,1h40 minutos,350,6,60,10,2,Contém ovos e lactose
Berinjela Mediterrânea,Grécia,"2 berinjelas médias, 2 tomates maduros, 1 cebola, 2 dentes de alho, azeite, azeitonas pretas, queijo feta (opcional), sal, pimenta-do-reino, orégano, manjericão fresco","
      1. Cortar as berinjelas em fatias ou cubos e salgar para tirar o amargor; deixar descansar 20 min e enxaguar.
      2. Refogar cebola e alho no azeite até ficarem macios.
      3. Adicionar tomates picados, orégano, sal e pimenta; cozinhar até formar um molho.
      4. Em uma travessa, misturar berinjela, molho, azeitonas e manjericão.
      5. Se desejar, adicionar queijo feta por cima.
      6. Levar ao forno pré-aquecido a 180°C por 20-25 minutos.
      7. Servir quente ou frio como entrada ou acompanhamento.",1 prato,4 porções,40 minutos,180,5,15,12,7,Vegetariana; contém lactose se usar queijo feta
Nhoque à Bolonhesa,Itália,"500g de batata, 150g de farinha de trigo, 1 ovo, sal, 300g de carne moída, 1 cebola, 2 dentes de alho, 400g de molho de tomate, azeite, sal, pimenta-do-reino, queijo parmesão ralado","
      1. Cozinhar as batatas, amassar e deixar esfriar.
      2. Misturar batata, farinha, ovo e sal até formar uma massa homogênea.
      3. Fazer rolinhos com a massa, cortar em pedaços pequenos e formar os nhoques.
      4. Cozinhar os nhoques em água fervente até subirem à superfície; escorrer.
      5. Refogar cebola e alho no azeite, adicionar carne moída e cozinhar até dourar.
      6. Acrescentar molho de tomate, temperar com sal e pimenta; cozinhar por 20 minutos.
      7. Servir o molho sobre o nhoque e polvilhar com queijo parmesão.",1 prato,4 porções,1h20 minutos,600,30,70,20,4,"Contém glúten, ovos e carne bovina"
